Configuration;Best way;Its distance;Average way;Dispersion
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;5-3-9-6-4-10-14-8-11-1-2-15-12-7-13-5;87.65;90.5;[87.65-97.88]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-1;1-12-7-2-6-8-11-5-13-9-10-4-15-14-3-1;100.91;107.74;[100.91-120.98]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-2;4-6-3-10-14-7-2-9-8-13-5-1-11-12-15-4;93.56;106.487;[93.56-115.14]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-3;4-12-2-6-3-9-11-14-15-13-1-8-5-7-10-4;92.32;104.662;[92.32-115.75]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP50 PC-1;14-8-15-6-3-9-5-11-13-10-1-4-7-2-12-14;87.32;97.49;[87.32-107.1]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP50 PC-2;13-1-5-11-10-15-8-2-6-3-9-14-7-4-12-13;97.34;103.832;[97.34-110.53]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP50 PC-3;11-5-9-8-10-3-7-4-15-14-2-12-6-1-13-11;95.16;99.455;[95.16-106.69]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP100 PC-1;5-11-1-7-10-9-3-8-14-4-15-12-2-6-13-5;86.68;97.81;[86.68-112.43]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP100 PC-2;6-15-4-7-10-14-13-5-1-11-8-12-2-3-9-6;78.24;95.2925;[78.24-109.35]
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP100 PC-3;1-8-9-6-2-7-14-10-4-12-15-3-5-11-13-1;76.18;90.4625;[76.18-105.66]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-1;14-4-7-8-13-5-11-3-2-10-6-12-15-9-1-14;105.41;110.34;[105.41-115.5]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-2;5-13-11-4-12-7-15-8-6-3-10-14-1-2-9-5;98.16;102.832;[98.16-108.14]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-3;8-11-4-9-3-6-7-14-15-10-12-2-5-13-1-8;91.85;99.495;[91.85-115.69]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-1;12-2-6-3-9-11-5-8-13-10-15-14-7-4-1-12;92.62;94.3025;[92.62-95.77]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-2;13-11-9-5-8-14-4-1-2-6-3-7-12-15-10-13;93.55;100.725;[93.55-105.67]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-3;5-3-7-6-9-2-15-12-10-14-4-8-1-13-11-5;84.07;94.85;[84.07-109.39]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-1;6-1-5-13-11-8-10-14-15-7-12-4-2-9-3-6;70.81;93.7775;[70.81-105.33]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-2;2-15-4-8-1-5-11-13-9-7-12-14-10-3-6-2;76.11;94.54;[76.11-107.79]
CR-0 PN-10 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-3;2-7-15-4-12-10-14-13-11-1-8-5-3-9-6-2;71.94;81.8875;[71.94-93.96]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-1;9-14-7-6-10-3-12-4-15-2-8-1-11-5-13-9;98.68;104.36;[98.68-109.61]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-2;12-9-11-13-5-6-2-3-15-14-7-4-1-8-10-12;94.18;103.462;[94.18-115.85]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-3;13-14-10-4-3-9-1-2-12-6-7-15-8-11-5-13;93.38;99.1975;[93.38-102.14]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;6-2-15-12-7-9-5-11-4-14-10-8-1-13-3-6;79.56;87.8975;[79.56-95.63]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;12-2-7-15-4-14-10-8-1-5-3-11-13-9-6-12;74.26;81.4025;[74.26-88.6]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;3-9-13-5-1-8-11-6-4-10-14-7-15-12-2-3;74.27;85.735;[74.27-97.16]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;6-4-10-14-8-1-9-13-5-11-3-12-15-7-2-6;76.5;84.035;[76.5-89.89]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;14-2-9-3-6-4-15-12-10-7-5-13-11-8-1-14;85.46;90.64;[85.46-96.25]
CR-0 PN-10 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;12-4-15-7-2-6-3-8-1-9-11-13-5-14-10-12;75.14;87.7875;[75.14-92.88]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-1;9-5-7-8-15-3-6-4-12-2-10-14-11-1-13-9;101.44;106.802;[101.44-111.77]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-2;6-7-11-13-9-5-10-8-1-14-3-4-12-15-2-6;105.71;113.59;[105.71-118.45]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP10 PC-3;3-14-4-10-12-7-15-8-11-5-6-2-13-1-9-3;93.78;108.877;[93.78-119.2]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-1;6-12-15-7-2-9-13-5-4-1-11-8-10-14-3-6;90.24;102.343;[90.24-111.67]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-2;9-6-1-4-12-7-15-8-5-13-11-10-14-2-3-9;91.31;96.5025;[91.31-102.51]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP50 PC-3;2-15-8-10-6-12-7-4-14-5-13-1-11-3-9-2;92.1;101.9;[92.1-107.79]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-1;13-1-14-2-6-5-11-12-7-15-10-8-4-3-9-13;96.41;98.6;[96.41-101.23]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-2;7-10-14-6-9-3-8-15-12-13-5-1-11-2-4-7;99.45;104.247;[99.45-107.78]
CR-0 PN-10 G-1 PP-5 SM-1 MAX_STEP100 PC-3;6-7-3-9-5-13-11-15-1-8-14-10-2-4-12-6;90.05;101.83;[90.05-111.88]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;14-5-8-1-13-3-9-6-2-12-7-11-4-10-15-14;96.86;103.29;[96.86-108.52]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2-7-12-11-1-13-5-10-8-14-6-9-3-4-15-2;92.73;100.095;[92.73-108]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;5-14-4-8-10-2-6-12-15-7-1-11-3-13-9-5;102.09;105.817;[102.09-112.42]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;7-4-9-3-6-13-5-2-12-15-14-10-8-11-1-7;88.98;93.8825;[88.98-104.85]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;5-11-4-2-6-14-12-15-7-10-8-13-1-3-9-5;92.49;100.955;[92.49-110.28]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;11-10-14-4-12-7-2-8-6-15-9-5-13-1-3-11;108.49;110.34;[108.49-113.71]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;12-11-8-4-15-14-10-13-5-1-9-3-6-2-7-12;81.76;88.505;[81.76-99.22]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;9-3-5-13-8-1-11-14-6-2-15-12-10-7-4-9;89.62;96.235;[89.62-102.18]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2-12-15-4-14-6-3-7-10-13-11-1-8-5-9-2;84.53;90.3025;[84.53-96.54]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;6-3-10-14-7-13-9-15-4-2-12-8-1-5-11-6;101.23;103.698;[101.23-107.13]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;15-10-1-8-5-11-13-7-2-3-9-6-4-12-14-15;89.91;99.1975;[89.91-105.8]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1-2-10-7-12-4-15-13-8-14-6-3-9-5-11-1;88.52;100.397;[88.52-114.64]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;10-7-13-5-1-8-11-2-12-14-9-3-6-15-4-10;92.12;98.35;[92.12-104.01]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1-11-8-9-13-5-6-3-12-14-2-7-15-4-10-1;88.2;93.14;[88.2-101.54]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;9-3-6-7-4-15-14-13-5-10-12-2-8-1-11-9;84.15;94.2325;[84.15-100.03]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2-10-8-1-15-7-4-14-3-11-13-5-9-6-12-2;86.03;91.3025;[86.03-96.92]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;7-15-10-3-6-9-5-1-2-12-4-11-13-8-14-7;90.36;92.425;[90.36-94.23]
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;11-10-14-4-6-12-15-7-2-3-9-5-13-1-8-11;73.67;83.7175;[73.67-89.44]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP10 PC-1;3-4-6-1-11-13-5-9-10-14-8-12-7-15-2-3;90.41;97.1225;[90.41-106.03]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP10 PC-2;4-14-3-15-10-8-1-11-6-9-5-13-2-12-7-4;91.17;99.1425;[91.17-111.46]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP10 PC-3;6-15-12-10-3-9-4-14-8-5-13-1-11-7-2-6;94.26;101.777;[94.26-110.97]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP50 PC-1;13-9-3-8-14-10-12-7-6-2-4-1-15-5-11-13;96.38;103.315;[96.38-108.71]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP50 PC-2;4-2-9-13-8-14-10-15-7-3-6-5-11-1-12-4;89.3;98.675;[89.3-104.34]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP50 PC-3;10-4-3-9-7-14-8-1-13-11-5-6-12-2-15-10;83.67;94.1425;[83.67-112.25]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP100 PC-1;15-10-4-8-1-5-11-9-13-12-7-14-2-6-3-15;87.67;94.505;[87.67-100.26]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP100 PC-2;9-7-8-14-15-4-2-12-3-6-10-1-11-13-5-9;85.48;94.6175;[85.48-104.51]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP100 PC-3;6-2-1-5-9-3-4-15-10-7-14-8-11-13-12-6;92.38;97.8725;[92.38-106.96]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4-2-3-6-13-5-1-14-15-8-11-9-10-12-7-4;94.41;98.7275;[94.41-101.03]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-2;6-8-10-14-3-2-12-7-4-15-9-5-11-1-13-6;89.67;97.2025;[89.67-106.37]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-3;6-3-5-9-15-4-14-7-8-1-11-13-10-2-12-6;88.48;96.87;[88.48-106.33]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-1;6-14-10-4-3-9-8-11-13-5-1-12-15-7-2-6;83.17;92.06;[83.17-105.04]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-2;14-4-7-15-3-9-5-8-12-10-1-13-11-6-2-14;93.47;97.16;[93.47-101.91]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-3;12-7-15-4-10-14-1-13-11-9-8-5-3-6-2-12;71.77;86.56;[71.77-93.57]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-1;9-5-13-11-1-4-7-12-3-6-2-15-14-10-8-9;71.24;85.6275;[71.24-100.9]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-2;10-2-3-9-6-14-15-7-4-12-11-5-13-1-8-10;81.1;88.7425;[81.1-102.47]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-3;15-7-4-12-3-6-2-5-13-1-11-9-8-14-10-15;75.5;87.4;[75.5-97.53]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-1;10-8-3-6-2-15-14-4-12-7-1-13-5-11-9-10;86.37;102.132;[86.37-115.3]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-2;7-10-2-6-9-11-1-8-4-14-5-13-3-12-15-7;87.08;99.6175;[87.08-104.43]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-3;13-2-14-4-10-15-7-6-9-3-12-11-5-8-1-13;95.32;102.347;[95.32-107.21]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2-6-9-3-1-11-5-13-10-14-8-12-7-15-4-2;74.81;88.4325;[74.81-99.24]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-2;5-11-14-4-6-9-3-7-2-10-15-12-8-1-13-5;86.37;95.9175;[86.37-105.96]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3-6-7-2-15-10-14-4-12-8-1-11-13-5-9-3;62;86.4075;[62-98.48]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-1;15-12-6-2-7-5-8-1-11-13-9-3-4-14-10-15;79.57;90.085;[79.57-95.87]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-2;11-13-1-14-15-7-12-3-2-4-10-8-6-9-5-11;81.09;85.8775;[81.09-91.87]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-3;15-4-10-8-11-13-3-9-6-14-1-5-2-12-7-15;85.62;90.33;[85.62-97.5]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP10 PC-1;13-5-9-11-1-8-7-15-6-2-14-4-12-10-3-13;89.58;100.645;[89.58-116.9]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP10 PC-2;3-6-9-5-8-14-12-15-2-1-11-13-10-7-4-3;91.64;103.495;[91.64-109.55]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP10 PC-3;12-9-11-13-1-8-5-6-3-14-15-10-2-7-4-12;92;100.292;[92-106.62]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP50 PC-1;5-1-7-10-14-8-11-13-6-3-9-2-4-15-12-5;90.7;99.3975;[90.7-108.16]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP50 PC-2;1-10-6-2-15-7-12-3-14-8-4-9-11-5-13-1;96.32;103.797;[96.32-110.9]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP50 PC-3;3-6-2-15-4-10-14-7-1-12-8-13-5-9-11-3;92.31;99.93;[92.31-107.12]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP100 PC-1;2-7-14-4-10-15-12-8-11-9-6-3-1-13-5-2;88.86;98.3525;[88.86-116.72]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP100 PC-2;13-11-1-8-14-10-6-15-2-3-4-12-7-9-5-13;82.2;91.7925;[82.2-109.93]
CR-0 PN-10 G-5 PP-10 SM-1 MAX_STEP100 PC-3;2-8-14-10-7-4-15-12-5-13-9-11-1-6-3-2;85.39;98.495;[85.39-107.09]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP10 PC-1;13-5-8-1-9-3-14-15-10-7-6-2-12-4-11-13;86.17;93.3575;[86.17-99.55]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP10 PC-2;11-3-5-13-1-8-14-7-2-12-6-9-10-4-15-11;92.94;98.925;[92.94-104.84]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP10 PC-3;7-4-15-2-12-6-3-11-5-13-14-10-1-8-9-7;88.53;97.2;[88.53-106.11]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP50 PC-1;3-2-6-12-7-4-15-9-5-13-8-1-11-10-14-3;83.06;96.52;[83.06-107.84]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP50 PC-2;12-15-7-10-1-11-13-8-14-4-5-6-3-9-2-12;83.93;93.4675;[83.93-104.24]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP50 PC-3;7-12-3-6-11-13-5-9-15-2-14-1-8-10-4-7;85.12;96.6125;[85.12-111.4]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP100 PC-1;10-14-8-1-13-11-5-2-4-6-9-3-12-7-15-10;74.77;84.285;[74.77-96.81]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP100 PC-2;9-13-11-5-1-8-4-10-14-15-7-2-12-6-3-9;59.03;79.225;[59.03-92.48]
CR-0 PN-10 G-5 PP-10 SM-2 B-2 MAX_STEP100 PC-3;11-14-10-4-15-2-12-7-6-5-9-3-8-1-13-11;79.12;85.1825;[79.12-91.85]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP10 PC-1;9-3-2-6-11-13-1-8-10-15-12-4-7-14-5-9;78.94;88.5925;[78.94-95.33]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP10 PC-2;6-7-15-12-9-5-13-11-1-14-8-10-4-2-3-6;72.95;83.4725;[72.95-91.59]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP10 PC-3;10-14-8-11-1-9-13-5-7-4-12-2-3-6-15-10;79.31;90.805;[79.31-109.36]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP50 PC-1;10-4-9-3-6-2-12-15-14-7-1-11-13-5-8-10;74.63;88.665;[74.63-95.81]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP50 PC-2;1-6-3-9-5-13-11-8-2-15-7-4-12-10-14-1;75.92;88.7775;[75.92-100.3]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP50 PC-3;4-15-7-12-2-3-6-11-13-9-5-1-8-10-14-4;64.29;74.42;[64.29-82.8]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP100 PC-1;1-8-14-4-15-12-7-10-2-3-9-6-5-13-11-1;66.26;78.16;[66.26-88.46]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP100 PC-2;3-9-6-2-12-7-15-4-1-11-5-13-8-10-14-3;68.9;80.1175;[68.9-90.7]
CR-0 PN-10 G-5 PP-10 SM-2 B-4 MAX_STEP100 PC-3;11-1-14-8-10-4-2-15-12-7-6-3-9-13-5-11;66.81;81.2425;[66.81-90.7]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP10 PC-1;1-11-5-9-13-8-7-3-6-10-4-14-15-2-12-1;90.49;100.583;[90.49-114.4]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP10 PC-2;14-6-9-3-7-2-10-4-1-8-13-5-11-12-15-14;95.25;103.757;[95.25-109.85]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP10 PC-3;5-1-11-4-12-2-6-3-8-10-14-7-15-9-13-5;82.88;99.2725;[82.88-109.66]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP50 PC-1;4-15-1-9-3-6-12-7-2-5-13-11-8-14-10-4;75.01;95.315;[75.01-105.82]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP50 PC-2;3-9-1-11-10-2-6-13-5-8-12-15-7-4-14-3;96.43;107.662;[96.43-116.28]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP50 PC-3;12-6-3-5-11-4-7-2-15-10-9-13-1-8-14-12;89.64;100.46;[89.64-110.86]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP100 PC-1;9-5-8-6-3-7-2-15-4-12-14-10-13-1-11-9;90.85;98.03;[90.85-102.48]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP100 PC-2;8-14-2-3-9-5-13-1-11-7-10-12-6-4-15-8;88.68;102.398;[88.68-115.68]
CR-0 PN-10 G-5 PP-5 SM-1 MAX_STEP100 PC-3;6-3-9-4-2-11-1-13-5-10-7-15-12-14-8-6;94.25;103.687;[94.25-110.97]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-1;5-13-1-9-2-7-10-15-12-6-3-4-14-8-11-5;79.83;90.2525;[79.83-97.25]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-2;11-1-6-7-4-15-14-10-8-5-13-9-3-2-12-11;85.24;98.56;[85.24-109.26]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP10 PC-3;10-14-8-4-11-9-12-2-3-6-13-5-1-7-15-10;95.63;100.132;[95.63-110.8]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-1;11-1-12-2-7-15-4-14-8-10-3-6-9-13-5-11;73.29;84.655;[73.29-90.31]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3-12-4-15-7-2-6-11-1-5-13-8-10-14-9-3;79.97;93.92;[79.97-108.27]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP50 PC-3;6-3-9-1-11-5-13-14-12-2-7-8-4-10-15-6;81.64;91.4475;[81.64-109.92]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1-11-13-5-3-6-2-12-15-14-7-9-4-10-8-1;75.56;87.9475;[75.56-105.66]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-2;9-5-11-14-10-4-15-12-3-6-2-7-8-1-13-9;72.02;85.925;[72.02-96.51]
CR-0 PN-10 G-5 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1-5-9-6-2-3-10-7-12-14-15-4-8-13-11-1;79.79;87.4375;[79.79-92.85]
